time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.87404914027e-08,7.76448608649e-07,10.0038831638,0.000582175996126,2.26516837598e-05,0.0,-1.84056710366e-06,6.20449924484e-05,0.129432137396,0.024220518924,0.00112215716358,0.0,445.73948483840826,445.8311549896224,445.5068420600093,447.48241017314035
0.12000000000000001,-1.35695187065e-06,2.21044211689e-05,10.0146845834,0.00166014665766,0.000516286176423,0.0,-7.43315425643e-05,0.000782813898662,0.230599319422,0.000943002156901,0.0195942489761,0.0,436.6168753991113,438.15492947441953,438.17746684637876,436.23836462160375
0.18,-2.68342086313e-05,0.000116879387596,10.0395452655,0.00143670927131,0.00165751877737,0.0,-0.000938902084778,0.00236743275698,0.597971302404,-0.0152413226841,0.0178477925901,0.0,513.4647622575183,513.3407685728741,516.9499542350627,515.8085282803581
0.23999999999999996,-0.000123303814208,0.000286293948925,10.0794354328,0.000322407081935,0.00259718101397,0.0,-0.00238459479353,0.00317217220258,0.731624311542,-0.0262399983933,0.0108835682064,0.0,448.4476926680044,447.8816276548823,447.96503674811663,447.06994637646505
0.3,-0.000345990895976,0.000477454016457,10.1344786113,6.28159290173,0.0039523575741,0.0,-0.00518980644612,0.00295681592597,1.10286564461,-0.0467705306965,0.0392735985181,0.0,515.3161452437424,517.3187851738874,517.2598924745587,515.8119664770578
0.36000000000000004,-0.00075742996901,0.000607027575451,10.2058133616,6.2790894093,0.00611264713392,0.0,-0.00877953584436,0.00106535474622,1.27478145087,-0.0331761707243,0.0285019884201,0.0,461.1614765124103,460.3104696886048,459.474225131744,460.54967520464766
0.4200000000000001,-0.0014070680528,0.000585853299257,10.2837499995,6.27732615518,0.00784165946889,0.0,-0.0130369522119,-0.00194712749554,1.32304968772,-0.022722285833,0.02943921505,0.0,421.2388568521017,421.320175132165,421.90799348899725,422.8091781242106
0.48000000000000015,-0.00237269771022,0.000331835766297,10.367919643,6.27594231171,0.00967655659046,0.0,-0.0193487066358,-0.00667108476499,1.48240927736,-0.0237564374677,0.0327733909851,0.0,457.1780556504552,457.44389186404885,456.89254563110757,456.81006774482745
0.5400000000000001,-0.00376496040774,-0.000241120613537,10.4622441578,6.27474265381,0.0112506452569,0.0,-0.0272646751256,-0.0125738265653,1.66149486638,-0.0133696581312,0.00807714228744,0.0,465.3796063402853,463.44280280832135,462.0999353669994,462.91794583058163
0.6000000000000002,-0.00563255466029,-0.00117102649915,10.5646910029,6.27378496729,0.0112605685586,0.0,-0.0350207836555,-0.0185099457895,1.75326221571,-0.0217267214397,-0.0245063426183,0.0,437.6382237093973,434.91790683168233,438.11070641368127,437.41543921020326
0.6600000000000003,-0.00798738608908,-0.00250382862444,10.6752687565,6.27214723117,0.0101015752946,0.0,-0.0433228819594,-0.026077444273,1.93237739896,-0.0417835584112,-0.0105588424145,0.0,463.87474176320285,464.9686634924948,464.9268901951374,463.3526850103816
0.7200000000000003,-0.010820077294,-0.00433690903706,10.7969222349,6.26994180073,0.00939768471701,0.0,-0.0510199258219,-0.0352913377488,2.12240284594,-0.0282360067236,-0.0141864881535,0.0,468.53707189912086,468.25510086775074,467.3592968000368,468.41336975706
0.7800000000000004,-0.0140779184837,-0.00674288252562,10.9278892731,6.26828682478,0.00845663143913,0.0,-0.0574788349525,-0.0450805358587,2.24293452417,-0.0263079589107,-0.0188616864399,0.0,448.52833531306516,448.14859790465823,447.0356895306742,447.19257680638674
0.8400000000000004,-0.0177242600771,-0.00981178360971,11.0687649883,6.26648126742,0.0069995895634,0.0,-0.0639132315245,-0.0574081168849,2.45249512013,-0.0390036390061,-0.0382642057646,0.0,475.6327547570108,474.1444402437595,475.75856204649534,474.7853039654269
0.9000000000000005,-0.0217002898781,-0.0136235898362,11.2196890384,6.26416171108,0.00490472620297,0.0,-0.0683880278245,-0.069893826593,2.57802878012,-0.0379794515914,-0.0289405443179,0.0,450.8440832260153,451.59623778327165,450.1146058891826,450.1967673117474
0.9600000000000005,-0.0259100100033,-0.0182642457009,11.3797190519,6.26221752866,0.00375506657825,0.0,-0.0717760362987,-0.0850243039589,2.75588911881,-0.0230977305414,-0.00455770425511,0.0,465.782863642628,467.68579208602273,467.0060554346763,468.16499216532947
1.0200000000000005,-0.0302870434523,-0.0237688365145,11.5464025154,6.26047490123,0.00314036433781,0.0,-0.0740864430279,-0.0986027757378,2.80011527178,-0.0448912752145,-0.0251549225717,0.0,427.45326063839667,425.6944652986967,427.0600069583347,425.19663996685955
1.0800000000000005,-0.0348023057845,-0.0302505399646,11.7211605759,6.2584832009,0.0016702719074,0.0,-0.0762415142226,-0.117714900972,3.02458060609,-0.0165161463373,-0.0232259389909,0.0,482.1570985225607,482.30277412417774,480.5552685410031,482.70082087491215
1.1400000000000006,-0.0394062669943,-0.0378303109592,11.9057431602,6.25758156382,0.000135275584375,0.0,-0.0770740298462,-0.135034245788,3.12789207139,-0.0122045916631,-0.0307717461088,0.0,446.64727468697595,446.03131087856224,446.91763412665097,447.26902391009156
1.2000000000000006,-0.0440258505091,-0.0465721409801,12.1005999891,6.25660177594,6.2814935477,0.0,-0.076687402138,-0.156445886955,3.36666021718,-0.0262156512695,-0.0298159834211,0.0,487.37698520576123,487.4481994374788,488.5987797345386,487.553178672952
